"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Apr 18, 2025","84921.13","85057.97","84764.73","84843.91","84843.91","21784412160"
"Apr 16, 2025","83674.51","85428.28","83100.62","84033.87","84033.87","29617804112"
"Apr 15, 2025","84539.70","86429.35","83598.82","83668.99","83668.99","28040322885"
"Apr 14, 2025","83694.52","85785.00","83690.64","84542.39","84542.39","34090769777"
"Apr 13, 2025","85279.47","86015.19","83027.01","83684.98","83684.98","28796984817"
"Apr 12, 2025","83404.52","85856.19","82769.38","85287.11","85287.11","24258059104"
"Apr 11, 2025","79625.05","84247.48","78936.32","83404.84","83404.84","41656778779"
"Apr 10, 2025","82565.98","82700.93","78456.13","79626.14","79626.14","44718000633"
"Apr 9, 2025","76273.56","83541.00","74589.67","82573.95","82573.95","84213627038"
"Apr 8, 2025","79218.48","80823.89","76198.02","76271.95","76271.95","48314590749"
"Apr 7, 2025","78221.34","81119.06","74436.68","79235.34","79235.34","91262424987"
"Apr 6, 2025","83504.51","83704.72","77097.74","78214.48","78214.48","36294853736"
"Apr 5, 2025","83844.70","84207.02","82377.73","83504.80","83504.80","14380803631"
"Apr 4, 2025","83100.25","84696.15","81670.75","83843.80","83843.80","45157640207"
"Apr 3, 2025","82487.48","83909.30","81282.10","83102.83","83102.83","36852112080"
"Apr 2, 2025","85180.61","88466.95","82343.54","82485.71","82485.71","47584398470"
"Apr 1, 2025","82551.92","85487.37","82429.36","85169.17","85169.17","28175650319"
"Mar 31, 2025","82336.06","83870.13","81293.89","82548.91","82548.91","29004228247"
"Mar 30, 2025","82596.98","83505.00","81573.25","82334.52","82334.52","14763760943"
"Mar 29, 2025","84352.07","84567.34","81634.14","82597.59","82597.59","16969396135"
"Mar 28, 2025","87185.23","87489.86","83557.64","84353.15","84353.15","34198619509"
"Mar 27, 2025","86896.26","87786.73","85837.94","87177.10","87177.10","24413471941"
"Mar 26, 2025","87460.23","88292.16","85861.45","86900.88","86900.88","26704046038"
"Mar 25, 2025","87512.82","88542.40","86346.08","87471.70","87471.70","30005840049"
